bytes;packets;connections;cpu_load0,0,0,0
164,3,0,0
164,3,0,0
164,3,0,0
164,3,0,0
276,5,1,0
276,5,1,0
276,5,1,0
276,5,1,0
568,9,2,0
568,9,2,0
568,9,2,0
568,9,2,0
988,14,3,0
988,14,3,0
988,14,3,0
988,14,3,0
1228,17,4,0
1228,17,4,0
1228,17,4,0
1228,17,4,0
1520,21,5,0
1520,21,5,0
1520,21,5,0
1520,21,5,0
1760,24,6,0
1760,24,6,0
1760,24,6,0
1760,24,6,0
2000,27,7,0
2000,27,7,0
2000,27,7,0
2000,27,7,0
4500,68,8,0
4552,69,8,0
4656,71,8,0
4968,77,7,0
5028,78,8,0
6248,100,8,0
6248,100,8,0
6456,104,8,0
9172,148,9,0
10684,175,8,0
12392,206,7,0
12560,209,7,0
14060,236,7,0
14864,251,7,0
15728,266,7,0
18072,309,7,10
19732,337,8,10
21516,369,7,10
21980,377,7,10
22408,385,7,10
25964,449,8,10
26276,455,7,10
27652,481,7,10
28224,492,7,10
31896,558,8,10
33724,592,8,10
37900,670,8,10
65688,1200,7,10
67644,1236,8,10
68420,1250,8,10
68784,1257,8,10
68888,1259,8,10
69388,1267,9,10
73468,1342,9,45
73792,1348,8,45
78524,1433,7,45
80420,1466,8,45
80420,1466,8,45
81416,1484,8,45
81416,1484,8,45
83416,1519,9,45
83416,1519,9,45
84452,1538,9,45
84932,1547,9,45
86520,1575,10,45
87876,1599,10,45
89184,1623,9,45
89468,1628,9,45
90384,1644,10,45
90384,1644,10,45
90800,1652,10,45
91008,1656,10,45
92808,1689,11,45
93224,1697,11,45
95356,1738,11,45
95668,1744,11,45
102972,1881,12,45
106060,1939,12,45
108320,1982,11,45
108840,1992,11,45
111888,2049,11,45
112928,2069,11,65
116360,2135,10,65
117036,2148,9,65
119200,2188,9,65
121436,2231,9,65
123672,2274,9,65
126636,2331,8,65
128780,2369,8,65
130496,2402,8,65
133616,2462,8,65
156132,2895,8,65
158036,2930,9,79
160896,2985,9,79
161988,3006,9,79
164824,3058,8,79
166040,3081,9,79
166792,3094,9,79
169140,3138,9,79
169660,3148,9,79
172892,3206,10,79
175692,3258,10,79
175692,3258,10,79
176016,3264,10,79
177892,3299,10,79
178604,3312,9,79
208192,3881,9,87
208400,3885,9,87
209992,3914,10,87
210460,3923,10,87
210928,3932,10,87
210928,3932,10,87
212624,3963,11,87
214000,3988,11,87
216184,4030,11,87
216600,4038,11,87
216660,4039,12,87
216840,4041,12,87
216840,4041,12,87
217412,4052,12,87
220564,4111,13,87
220980,4119,13,87
220980,4119,13,87
221708,4133,12,87
224184,4179,13,87
225432,4203,13,87
225432,4203,13,87
226368,4221,13,87
226608,4224,14,87
228064,4252,14,87
231808,4324,14,87
231912,4326,14,87
232464,4335,15,87
233192,4349,15,87
235220,4388,14,87
237196,4426,14,87
240556,4489,15,92
240868,4495,15,92
241180,4501,15,92
248616,4644,15,92
250572,4680,16,92
250884,4686,16,92
251196,4692,16,92
255356,4772,15,92
257468,4811,16,92
257780,4817,16,92
271768,5086,16,92
272704,5104,16,95
272764,5105,17,95
276688,5179,17,95
277624,5197,16,95
284124,5322,15,95
285612,5349,16,95
286548,5367,15,95
288056,5396,15,95
290916,5451,14,95
291988,5470,15,95
293756,5504,15,95
295212,5532,15,95
295420,5536,15,95
297376,5572,16,95
298312,5590,16,95
300392,5630,16,95
302160,5664,16,95
305988,5736,17,97
307028,5756,17,97
307444,5764,17,97
337136,6335,17,97
340600,6400,18,97
340860,6405,18,97
340860,6405,18,97
340860,6405,18,97
340972,6407,19,97
346404,6510,19,97
350668,6592,19,97
352332,6624,18,98
354392,6662,18,98
356888,6710,18,98
357512,6722,18,98
357512,6722,18,98
359156,6752,18,98
364044,6846,18,98
378448,7123,18,98
380476,7162,18,98
383160,7212,19,98
385656,7260,19,98
388464,7314,18,98
396524,7469,17,98
397232,7481,17,98
400040,7535,17,98
401704,7567,17,98
403160,7595,17,98
405116,7631,18,98
406260,7653,18,98
416660,7853,18,98
419728,7912,17,98
423140,7976,18,98
423140,7976,18,98
425688,8025,18,98
426208,8035,18,98
427124,8051,18,98
427956,8067,18,98
428944,8086,18,98
429568,8098,18,98
431108,8126,19,98
432200,8147,19,98
433604,8174,19,99
436360,8227,19,99
437328,8244,20,99
438836,8273,20,99
440344,8302,20,99
441332,8321,20,99
441936,8331,21,99
443340,8358,21,99
443340,8358,21,99
447344,8435,21,99
447872,8445,21,99
451952,8522,21,99
453044,8543,21,99
475560,8976,21,99
478400,9029,22,99
478816,9037,22,99
479024,9041,22,99
494364,9336,22,99
495176,9350,23,99
498712,9418,23,99
513428,9701,23,99
523880,9902,23,99
526460,9950,24,99
528956,9998,24,99
532388,10064,24,99
534988,10114,24,99
537880,10168,25,99
540948,10227,25,99
541988,10247,25,99
544484,10295,25,99
548520,10371,26,99
550028,10400,26,99
550444,10408,26,99
559856,10589,26,99
562488,10638,27,99
563944,10666,27,99
563996,10667,27,99
566440,10714,26,99
570476,10790,27,99
603444,11424,27,99
623984,11819,26,99
644004,12204,25,99
644324,12210,25,99
644920,12220,25,99
653032,12376,25,99
669412,12691,25,99
672304,12745,26,99
673968,12777,26,99
688476,13056,25,99
688476,13056,25,99
689964,13083,25,99
694488,13170,24,99
694852,13177,24,99
695476,13189,24,99
695536,13190,25,99
696108,13201,24,99
696704,13211,23,99
700448,13283,23,99
705264,13374,24,99
705836,13385,24,99
708020,13427,23,99
708228,13431,23,99
712784,13517,24,99
714240,13545,23,99
717984,13617,22,99
719752,13651,22,99
723008,13712,23,99
723944,13730,23,99
724360,13738,23,99
725400,13758,22,99
730216,13849,23,99
730424,13853,23,99
739368,14025,22,99
744672,14127,21,99
748136,14192,22,99
748604,14201,21,99
752140,14269,20,99
752816,14282,20,99
756488,14351,21,99
757476,14370,21,99
758516,14390,21,99
759660,14412,20,99
762708,14469,21,99
764424,14502,21,99
764632,14506,21,99
764736,14508,21,99
767628,14562,22,99
769344,14595,22,99
769552,14599,22,99
778652,14774,22,99
779984,14798,23,99
782272,14842,23,99
782948,14855,22,99
784248,14880,21,99
785176,14896,21,99
785540,14903,21,99
788308,14956,21,99
789348,14976,20,99
789744,14982,21,99
790212,14991,20,99
790680,15000,20,99
790940,15005,20,99
792896,15041,21,99
793988,15062,21,99
796052,15101,21,99
796260,15105,21,99
800140,15178,22,99
800140,15178,22,99
801180,15198,21,99
802272,15219,21,99
804748,15265,21,99
804956,15269,21,99
805216,15274,21,99
805216,15274,21,99
806740,15301,21,99
808560,15336,21,99
808560,15336,21,99
810536,15374,21,99
811348,15388,22,99
812596,15412,22,99
814000,15439,22,99
815872,15475,22,99
816788,15491,23,99
818400,15522,22,99
818868,15531,21,99
819752,15548,20,99
820096,15553,21,99
820564,15562,20,99
822436,15598,19,99
822904,15607,19,99
825536,15656,20,99
825952,15664,20,99
825952,15664,20,99
829072,15724,19,99
831704,15773,20,99
831964,15778,20,99
832588,15790,20,99
846056,16049,20,99
846116,16050,21,99
847804,16081,21,99
848220,16089,21,99
848220,16089,21,99
848696,16098,22,99
848696,16098,22,99
855064,16219,22,99
855948,16236,22,99
857852,16271,23,99
860348,16319,23,99
861596,16343,23,99
861596,16343,23,99
863500,16378,24,99
863760,16383,23,99
868700,16478,23,99
869976,16500,22,99
870036,16501,23,99
870424,16507,22,99
870424,16507,22,99
871152,16521,21,99
872200,16541,21,99
872588,16547,21,99
873160,16558,21,99
873160,16558,21,99
873712,16567,22,99
873868,16570,22,99
874952,16589,21,99
877924,16638,21,99
879320,16663,21,99
880412,16684,21,99
881296,16701,21,99
881452,16704,21,99
884916,16769,21,99
885852,16787,21,99
897968,17020,20,99
899372,17047,18,99
899432,17048,19,99
899432,17048,19,99
902384,17101,18,99
902956,17112,18,99
905120,17152,19,99
906836,17185,19,99
920512,17448,19,99
928604,17602,19,99
929260,17613,20,99
929260,17613,20,99
931752,17660,20,99
936848,17758,20,99
939480,17807,19,99
939480,17807,19,99
939480,17807,19,99
945596,17922,19,99
946304,17934,20,99
946304,17934,20,99
948072,17968,20,99
